impl,layers,batch,activation,time_ms,gflops
baseline,512x512x512,64,relu,0.05,1489.45
activation_fused,512x512x512,64,relu,0.04,1724.63
baseline,512x512x512,128,relu,0.05,2473.06
activation_fused,512x512x512,128,relu,0.05,2730.67
baseline,512x512x512,256,relu,0.07,3912.60
activation_fused,512x512x512,256,relu,0.06,4297.44
baseline,512x512x512,512,relu,0.11,5042.75
activation_fused,512x512x512,512,relu,0.10,5461.33
baseline,1024x2048x1024,64,relu,0.11,4899.89
activation_fused,1024x2048x1024,64,relu,0.10,5140.08
baseline,1024x2048x1024,128,relu,0.19,5729.92
activation_fused,1024x2048x1024,128,relu,0.18,5991.86
baseline,1024x2048x1024,256,relu,0.30,7206.71
activation_fused,1024x2048x1024,256,relu,0.29,7516.67
baseline,1024x2048x1024,512,relu,0.49,8830.11
activation_fused,1024x2048x1024,512,relu,0.48,8868.04
baseline,2048x2048x2048,64,relu,0.17,6168.09
activation_fused,2048x2048x2048,64,relu,0.17,6432.98
baseline,2048x2048x2048,128,relu,0.31,6898.53
activation_fused,2048x2048x2048,128,relu,0.30,7158.28
baseline,2048x2048x2048,256,relu,0.49,8848.74
activation_fused,2048x2048x2048,256,relu,0.47,9158.49
baseline,2048x2048x2048,512,relu,0.75,11491.24
activation_fused,2048x2048x2048,512,relu,0.72,11966.63
